xcar,vcar,acar,ttccar,xped,vped,aped,ttcped,roadtype,belief
31.40545776,9.57234,0.26512,3.280854813,6.938395872,1.21721,-0.01204,5.700245538,1,1
29.47456169,9.66828,0.0778,3.048583791,6.688281997,1.21124,-0.07495,5.52184703,1,0.928571429
27.52557074,9.67963,-0.30462,2.84365939,6.444738337,1.18141,-0.11561,5.455124247,1,0.857142857
25.58502744,9.58339,-0.74932,2.669726208,6.21490188,1.14909,-0.11213,5.408542307,1,0.928571429
23.68578785,9.38852,-1.15657,2.522845757,5.992059459,1.12838,-0.08921,5.310320512,1,0.928571429
21.83575851,9.12197,-1.52152,2.393754695,5.770138098,1.11869,-0.08146,5.157941966,1,0.928571429
20.03932582,8.78036,-1.85325,2.282289772,5.547006828,1.1101,-0.10847,4.996853281,1,0.928571429
18.31271699,8.36108,-2.09737,2.190233438,5.320254154,1.08518,-0.16092,4.902646707,1,0.928571429
16.68194997,7.88986,-2.15835,2.114353102,5.102683788,1.03767,-0.18904,4.917443685,1,0.928571429
15.15138386,7.42169,-1.99196,2.041500503,4.903457036,0.98935,-0.16411,4.956241003,1,0.928571429
13.71751751,7.01723,-1.62141,1.954833674,4.715430371,0.9619,-0.11845,4.902204357,1,0.857142857
12.36014816,6.72404,-1.14944,1.838202651,4.524317204,0.94933,-0.09981,4.765800305,1,0.857142857
11.04396874,6.54853,-0.71111,1.68648059,4.335121433,0.93458,-0.11046,4.63857715,1,0.928571429
9.749167059,6.4644,-0.39563,1.508131777,4.146998793,0.91335,-0.14167,4.540426773,1,0.928571429
8.462406027,6.43644,-0.24952,1.314764998,3.96313859,0.87726,-0.16936,4.517632845,1,0.928571429
7.171162358,6.41745,-0.27624,1.117447328,3.789965847,0.83161,-0.1623,4.557383686,1,0.928571429
5.87855616,6.36129,-0.4075,0.924113845,3.631748969,0.79487,-0.11387,4.568984826,1,0.928571429
4.614337647,6.25475,-0.50627,0.737733346,3.480867472,0.78178,-0.06172,4.452489795,1,0.928571429
3.378239,6.14995,-0.57045,0.54931162,3.324583102,0.78344,-0.05276,4.243570792,1,1
2.155419645,6.02472,-0.63239,0.357762625,3.16312272,0.77507,-0.08498,4.081080057,1,1
0.981306236,5.90257,-0.67822,0.166250673,3.00467256,0.74778,-0.11557,4.018123726,1,1
11.83173049,3.54032,-1.09153,3.341994646,6.071083624,0.47598,-0.46742,12.75491328,1,0.571428571
11.14373118,3.32178,-1.21132,3.354746905,5.985217763,0.37773,-0.44536,15.84522745,1,0.5
10.50340215,3.08602,-1.31396,3.403543125,5.916275223,0.28307,-0.39395,20.90039645,1,0.5
9.907809844,2.83028,-1.43471,3.500646524,5.866522624,0.19832,-0.29775,29.58109431,1,0.5
9.362659269,2.54175,-1.57466,3.683548449,5.827626418,0.13819,-0.15193,42.17111526,1,0.571428571
8.880180854,2.21598,-1.70067,4.007337997,5.789438742,0.11401,0.03176,50.78009597,1,0.571428571
8.469977174,1.86275,-1.78064,4.547028412,5.752438094,0.13364,0.23652,43.04428385,1,0.5
8.134284435,1.49838,-1.80966,5.428719307,5.713071919,0.20155,0.43677,28.34568057,1,0.5
7.863824151,1.12584,-1.78959,6.984850557,5.661525857,0.31302,0.60552,18.08678633,1,0.5
7.667881692,0.7487,-1.6638,10.24159435,5.584897873,0.45576,0.7299,12.25403255,1,0.357142857
7.552317629,0.40358,-1.3759,18.71330995,5.479798695,0.62177,0.80707,8.813224658,1,0.214285714
7.511190574,0.14307,-0.94774,52.50010885,5.338281575,0.80297,0.82117,6.648170636,1,0.214285714
7.504371343,0.1,-0.51165,75.04371343,5.156164767,0.97697,0.77147,5.277710439,1,0.142857143
7.496131702,0.1,-0.20762,74.96131702,4.942033111,1.13003,0.68722,4.373364522,1,0.142857143
7.491742773,0.1,-0.04973,74.91742773,4.702848282,1.26301,0.58931,3.723524186,1,0.142857143
7.489259172,0.1,0.01289,74.89259172,4.437234065,1.375,0.47856,3.22707932,1,0.071428571
7.48636316,0.1,0.03311,74.8636316,4.149573823,1.45918,0.36579,2.843771038,1,0.071428571
7.480889437,0.1,0.03831,74.80889437,3.849978298,1.52041,0.26761,2.532197433,1,0.071428571
7.477728296,0.1,0.03423,74.77728296,3.539436109,1.56123,0.18835,2.267081794,1,0
7.474894384,0.1,0.02142,74.74894384,3.226050465,1.59142,0.12701,2.027152144,1,0
7.469011121,0.1,0.00889,74.69011121,2.903282437,1.60965,0.07128,1.80367312,1,0
7.467385461,0.1,0.00193,74.67385461,2.581962649,1.61654,0.03105,1.597215441,1,0
7.464382038,0.1,-0.006,74.64382038,2.259704352,1.62173,-0.00619,1.393391226,1,0
7.459890147,0.1,-0.00998,74.59890147,1.934213138,1.61685,-0.04757,1.196284836,1,0
7.457780637,0.1,-0.00691,74.57780637,1.61056508,1.60274,-0.08566,1.004882314,1,0
7.455832218,0.1,-0.0045,74.55832218,1.290307551,1.57757,-0.10891,0.817908271,1,0
7.451730971,0.1,-0.00062,74.51730971,0.980523338,1.55209,-0.11096,0.631743866,1,0
7.449761329,0.1,0.02015,74.49761329,0.671572838,1.52936,-0.11,0.43912018,1,0
7.446769947,0.1,0.06186,74.46769947,0.369115028,1.5081,-0.10885,0.244755008,1,0.071428571
7.443895779,0.1,0.13887,74.43895779,0.067099001,1.48766,-0.11891,0.045103721,1,0.071428571
17.88857315,4.8771,-0.75079,3.667870896,6.465393687,1.30162,-0.08431,4.967189876,1,1
16.92406292,4.70094,-0.96951,3.600144423,6.207170257,1.28032,-0.09952,4.848139728,1,0.928571429
16.00622175,4.48046,-1.13013,3.572450541,5.952748029,1.25654,-0.10268,4.737412282,1,0.928571429
15.1358849,4.23782,-1.24082,3.571620525,5.703593395,1.23281,-0.09174,4.626498321,1,0.928571429
14.31579094,3.97783,-1.32006,3.598894608,5.45939248,1.21402,-0.0711,4.496954317,1,0.857142857
13.54996425,3.70916,-1.38732,3.653108589,5.217726638,1.20063,-0.04879,4.345823974,1,0.857142857
12.83427549,3.42713,-1.46471,3.744904771,4.978216092,1.19179,-0.02892,4.177091679,1,0.857142857
